timestamp,temperature,pressure,vibration,current_draw,temp_roll_mean,temp_roll_std,hour_of_day,day_of_week,anomaly,anomaly_type
2024-01-01 00:00:00,55.6,2.929,1.549,8.16,55.6,0.0,0,0,0,normal
2024-01-01 00:05:00,54.83,2.74,1.612,8.67,55.22,0.539,0,0,0,normal
2024-01-01 00:10:00,55.78,2.894,1.618,7.62,55.4,0.5,0,0,0,normal
2024-01-01 00:15:00,56.83,2.819,1.218,9.14,55.76,0.821,0,0,0,normal
2024-01-01 00:20:00,54.72,2.825,1.665,8.28,55.55,0.85,0,0,0,normal
2024-01-01 00:25:00,54.72,2.649,1.561,7.24,55.41,0.833,0,0,0,normal
2024-01-01 00:30:00,56.9,2.632,1.373,7.58,55.63,1.034,0,0,0,normal
2024-01-01 00:35:00,55.92,2.792,1.35,8.71,55.81,0.96,0,0,0,normal
2024-01-01 00:40:00,54.44,2.83,1.433,8.62,55.59,1.113,0,0,0,normal
2024-01-01 00:45:00,55.65,2.722,1.24,8.01,55.39,0.941,0,0,0,normal
2024-01-01 00:50:00,54.44,0.9524657123009894,3.7925994441167727,8.07,55.34,0.986,0,0,1,pressure_drop
2024-01-01 00:55:00,54.44,2.859,1.797,7.42,55.3,1.026,0,0,0,normal
2024-01-01 01:00:00,55.55,2.874,1.624,8.87,55.07,0.704,1,0,0,normal
2024-01-01 01:05:00,52.96,2.82,1.489,7.71,54.58,0.976,1,0,0,normal
2024-01-01 01:10:00,53.19,2.894,1.495,8.63,54.37,1.134,1,0,0,normal
2024-01-01 01:15:00,54.58,2.739,1.686,8.88,54.19,0.963,1,0,0,normal
2024-01-01 01:20:00,54.04,2.806,1.886,8.23,54.13,0.956,1,0,0,normal
2024-01-01 01:25:00,55.63,2.968,1.42,8.69,54.32,1.141,1,0,0,normal
2024-01-01 01:30:00,54.17,2.843,1.311,9.13,54.09,0.972,1,0,0,normal
2024-01-01 01:35:00,60.795367219734,2.848,12.420988140976922,8.34,54.19,0.856,1,0,1,vibration_surge
2024-01-01 01:40:00,57.02,3.024,1.177,8.12,54.83,1.277,1,0,0,normal
2024-01-01 01:45:00,54.99,1.245546466481318,3.1245822106269863,8.17,54.9,1.272,1,0,1,pressure_drop
2024-01-01 01:50:00,55.34,1.5983398154971342,2.5119124318528816,7.83,55.12,1.205,1,0,1,pressure_drop
2024-01-01 01:55:00,53.55,2.977,1.222,7.82,54.77,1.321,1,0,0,normal
2024-01-01 02:00:00,55.35,2.859,1.856,9.03,54.97,1.302,2,0,0,normal
2024-01-01 02:05:00,56.14,2.955,1.805,8.72,55.4,1.163,2,0,0,normal
2024-01-01 02:10:00,54.62,2.809,1.519,8.97,55.0,0.87,2,0,0,normal
2024-01-01 02:15:00,56.46,2.834,1.89,8.06,55.24,1.054,2,0,0,normal
2024-01-01 02:20:00,55.29,2.921,1.924,8.76,55.23,1.053,2,0,0,normal
2024-01-01 02:25:00,55.66,2.955,1.611,9.32,55.59,0.654,2,0,0,normal
2024-01-01 02:30:00,55.28,1.4958471711600743,3.492016511656166,8.24,55.57,0.659,2,0,1,pressure_drop
2024-01-01 02:35:00,58.23,3.019,2.086,8.81,55.92,1.279,2,0,0,normal
2024-01-01 02:40:00,55.99,2.89,1.778,7.88,56.15,1.112,2,0,0,normal
2024-01-01 02:45:00,54.74,2.992,1.685,8.15,55.86,1.232,2,0,0,normal
2024-01-01 02:50:00,56.99,2.87,1.907,9.21,56.15,1.269,2,0,0,normal
2024-01-01 02:55:00,54.54,2.971,1.694,8.65,55.96,1.427,2,0,0,normal
2024-01-01 03:00:00,57.45,2.98,1.692,10.67,56.32,1.493,3,0,0,normal
2024-01-01 03:05:00,54.85,3.0,1.809,9.97,55.76,1.248,3,0,0,normal
